text,true,pred,confidence,correct
Cateเคยให้สัมว่าตนเคยให้น้ำหอมกับพนักงานขับแท็กซี่คนนึงที่ลอนดอนด้วย เพราะเค้าถามว่าใช้น้ำหอมอะไรผมจะซื้อไปให้ภรรยาในวันเกิด เคทรู้สึกเอ็นดูเลยยกขวดให้ไปเลยทั้งๆที่ตัวเองก็มีแค่ขวดเดียว และคงหาซื้อแทบจะยากเพราะเป็นรุ่น exclusive นานมาแล้วแต่ย้อนกลับมาเล่าก็โคตรจะน่ารัก 💕,neu,pos,0.875,False
จัดให้สาแก่ใจสิ,neu,pos,0.567,False
วันไหนล่ะ,pos,neu,0.656,False
ป่ะ กินต่อได้,neu,pos,0.852,False
ผมนี้อายแทนเลยครับ55555,neu,pos,0.565,False
โปรบุฟเฟย์มายังคะ เห็นมีรูปออกมา,neu,q,0.46,False
ดิ,pos,neu,0.848,False
ความมันที่ได้ดื่มลีโอเย็นๆ #LEOLUTION,neu,pos,0.812,False
ภูเก็ตมีไหมคะ,neu,q,0.917,False
ชุมพรค้าบ,neu,pos,0.513,False
งื้ออออ อยากจินนจุงง,neu,pos,0.779,False
วันอาทิตทำฟันแดกไม่ได้,neu,neg,0.962,False
คนไทยต้องซีวิคครับ ไม่งั้นไม่เท่,neu,neg,0.613,False
โทษบุรี่ไฟฟ้ากับกัญชาอาไรร้ายแรงกว่ากันคับ,q,neu,0.646,False
ช่วงนี้จน55,pos,neu,0.521,False
กำลังนอนดูเมนูเอ็มเค 555,pos,neu,0.678,False
แม่,neu,pos,0.583,False
ป๋า กูน 528 พอใช้ไหมคับ,q,neu,0.793,False
เจอกันค่ะ รอนานมาก,neg,pos,0.708,False
ดูมาหน่อย เซเว่นบ้านเราไม่มี,neu,neg,0.573,False
ภาษีอีกละต่อไปจะใช้กากมะพร้าวแทน😂😂,neu,neg,0.895,False
สั่งได้เหมาะกับหน้าตา,neu,pos,0.601,False
ตอบเลยว่าไม่ 55,neg,neu,0.638,False
วันนี้เลยมั้ย,neu,pos,0.797,False
หงเลี้ยงใช่มะๆๆ หงเลี้ยงเว้ยหม่อนนน,pos,neu,0.75,False
ดุสิตโพลเผยที่สุดแห่งปี ยกเรื่อง 13 หมูป่าออกจากถ้ำหลวงเหตุการณ์ที่มีความสุขที่สุด ส่วนนักร้องที่ประชาชนชื่นชอบมากที่สุด ‘เป๊ก ผลิตโชค’,neu,pos,0.587,False
ตัดใจรอแอคคอร์ด2018ดีกว่าถ้าราคานี้,neu,neg,0.548,False
แดกช้างน้ำเข้าไปรึอย่างไร พุงถึงได้ใหย่เยี่ยงนี้. 😂😂,neu,neg,0.614,False
ขอความกรุณาช่วยปรับปรุงหมอประจำห้องฉุกเฉินด้วยค่ะ ถ้าไม่เจ็บไม่ป่วยคงไม่มารักษามีคนดีๆที่ไหนเขาอยากมาโรงพยาบาลบ้าง ถ้าไม่กลัวผิด พ.ร.บ.คอมจะโพสต์คลิปและสีหน้าไห้ดูค่ะว่าหมอของคุณเป็นยังงัย เงินน่ะมีจ่าย,neu,neg,0.636,False
ลีโออยากกินลีโอ,neu,pos,0.816,False
อิ่มมมมมมม,neu,pos,0.672,False
วันนี้อะนะ show dc นี้ไปยังไง ขามาไปถูก ขากลับนี้งง 555,neg,neu,0.532,False
รถสวย ทรงสวยดีคับ Kia ที่อเมริกาขับเพียบเลย ถ้าราคาเท่า accord ขายดีแน่ๆ,neu,pos,0.862,False
มีรูป1นั่งกำขวดเบียร์สิงห์ ดูท่าจะชอบดื่มเหมือนชาคริต,pos,neu,0.771,False
นิสสันเอ็กเทลรถสมถรรนะเยี่ยม พร้อมเทคโนโลยีล้ำสมัย ปลอดภัยทุกการขับขี่,neu,pos,0.811,False
เจ้,neu,pos,0.556,False
จะไปแซะคนที่เค้าแห่ไปลิโด กับเขาดินก่อนปิดทำไม คือเค้าไม่ได้เรียกร้องให้มันอยู่ต่อ เค้ายอมรับแล้ว เค้าถึงไปส่งท้ายไง ตอนมีอยู่ไม่ได้ไป แล้วมึงจะให้กูไปเลี้ยงยีราฟอาทิตย์ละห้าวันหรือไง คือมันไม่ได้ตอบโจทย์การไปบ่อย ๆ อะ การไปรำลึกส่งท้ายมันเลวร้ายมากเลยเหรอ,neu,neg,0.965,False
55555 เจ้าแซน,neu,pos,0.498,False
พร้อมไหม,neu,pos,0.635,False
ชี้อเหล้าให้มันแดกอยู่บ่อยกูรู้แต่เวลามันแดกเองมันล่อแสงโสมเวลามันให้กูชี้อให่มันแดกblack lableสาด,neu,neg,0.797,False
เข้ ปกติแท็กซี่จะมีแค่โตโยต้าอย่างเดียว แจ่มอะ 555555,neu,pos,0.931,False
บาบีก้อน!!,neu,pos,0.697,False
เคยไปอยู่ แต่พนักงานไม่รับ,neu,neg,0.848,False
มันมี ผลประโยชน์เข้ามาเกี่ยวข้อง หรือป่าว,neu,neg,0.672,False
เอาไป 100 ใช้ให้หมดน่ะ,neu,pos,0.61,False
อยากละสิ,neu,pos,0.775,False
หู้บยยยยยยยย,neu,pos,0.756,False
ฝันว่านั่งอยู่บนรถกับทากะ นั่งเบียดมาก ทากะนั่งอยู่ข้างหน้านี่ก็อยู่เยื้อง ๆ มาข้างหลัง พยายามเอามือดันนางให้ออกห่างจากตัวเอง เพราะหน้ามันแนบกับหลังนางเกินไป มันเขิน และหายใจไม่ออก จนนางผิดสังเกตอะเลยถามว่า รังเกียจเหรอ 555555555,neu,neg,0.803,False
ฮอตพอตแถวนี้มีไหน5555,pos,neu,0.723,False
ถ้าไม่ใช้คูปอง ส่งมาทางนี้ได้นะคะ,pos,neu,0.808,False
เดี้ยวนี้ ลีโอ โฆษณา เด่นและชัดมาก. เครื่องดื่มโซดา ลีโอ. มึงคิดว่าคนเอาจะ คิดว่ามันจะเน้นโซดา รี. ใครๆก็ต้องคิดว่าเบียร์ทั้งนั้นแหละ เจ้าหน้าที่แบบนี้. หนักประเทศจริงๆ,neu,neg,0.974,False
จัดสิจ้ะ,neu,pos,0.784,False
หน้ากากมะเขือเทศ มะนาว แตงโม มะพร้าว กี่วี่ เบอรี่ ก็มา อยากผิวหน้านุ่มชุ่มชื่น เด้งดึ๋ง ไว้ใจ Mask Skinfood จ้า โปรดี 5 แถม 5 คุ้มยิ่งกว่าคุ้ม จัดเลย!,neg,neu,0.641,False
ลิปจิ้มจุ่มเนื้อแมท Mille My Little Pony Magic Matte Liquid Lip สี 03 ค่ะ จิ้มไป4ครั้งเอง ใช้น้อยมากก ส่งต่อ150-.เองน้า ทักมาก่อนได้ แท้เด้อ!! สีน่ารัก สีของมิ้นชี่ #mille #ส่งต่อเครื่องสำอาง #ของแท้ #ส่งต่อคสอ #เครื่องสำอางมือสอง,neg,neu,0.729,False
สาวกครีมชีส สาวกเอ็มเค รอแดก,neu,pos,0.518,False
เป็นกันแดดที่ใช้แล้วหน้าไม่มันสิวไม่ขึ้นเพิ่ม และที่สำคัญ1ขวด ใช้ได้นานมาก ใช้ได้เกือบปี ตั้งแต่ใช้กันแดดEucerin ประหยัดเงินค่าครีมกันแดดไปได้เยอะเลยค่ะ,neu,pos,0.947,False
เคยคิดจะให้ชื่อน้องซีแกรมกับน้องโซดา พอเอาเข้าจริงๆ โดนเบรคสะงั้น เลยได้ชื่อว่า น้ำอิง,neu,neg,0.581,False
ทามมายเลาพลาดดดดดดดด 😭😭😭,neu,neg,0.393,False
มันกลัวคนบอกว่าฮอนด้าเกียร์เปราะบอบบาง ถ้านำมาวิ่งแท๊กซี่จะพังง่ายขึ้นไปอีก,neu,neg,0.902,False
ไปวันไหนดีพ่อ 28-29,neu,pos,0.852,False
รีโว่เครื่อง 2.4. อัตราการใช้น้ำมันประหยัดไหมคับ คอมเม้นหน่อยคับ,neu,q,0.92,False
เอาวันมีตังด้วยคะ,neu,pos,0.735,False
จัยแรกจัย ใช้ไม่ได้กับทุกคน,pos,neg,0.523,False
โอ้โห ใครทำเกมนี้เนี่ย ยากแบบเอาตายเลยค่า หาเจอกันครบมั้ยเนี่ย แอดใบ้ให้ว่าทั้งหมด 5 จุดนะ หุหุ,pos,neu,0.447,False
เตรียมท้องไว้ละนะ,pos,neu,0.622,False
เสียใจย,neg,neu,0.516,False
สั่งกินกันตอนเที่ยง,neu,pos,0.783,False
ชุดคัดสรร.ราคาเท่าไหร่ค่ะ,neu,q,0.763,False
ถ้าเป็นไฮเนเก้นก็ฟินไปแล้วนะครับ,pos,neu,0.542,False
อยากหรอ ตังหมดไปกับเมื่อวานแล้ว,pos,neu,0.391,False
หิวว,neu,pos,0.772,False
ไปหาผ้ามาขาย,pos,neu,0.772,False
HONDA Brio !! * เทอร์โบใหญ่ ❤,neu,pos,0.508,False
มีหลักฐานนะไอมูกเปียก,pos,neg,0.676,False
ถ้านิสสันออกแบบให้สวยดูดีกล้ายกสูงฟอร์ดหรือค่ายอื่นๆคงไม่แซงหน้า,pos,neg,0.376,False
etude ค่า,neu,q,0.987,False
TOYOTA นี่ไปทั่วโลกเลยแสดงว่าเป็นที่ยอมรับอย่างกว้างขวาง,neu,pos,0.747,False
ลพบุรีมีไหม,neu,q,0.926,False
หล่อกันทุกคนเลยครับวันนี้ ^^,neu,pos,0.834,False
คนที่ริเริ่มเอาเพลงหนักแผ่นดินมาโจมตีคนอื่น ตอนนี้ติดคุกคดีพรบ.หลักทรัพย์ และคดียึดทำเนียบ นะจ้า 555555,neu,neg,0.653,False
น่ารวมตัวกันซักหมื่นคนนะครับแล้วเดินขบวนมันซะเลย ทำป้ายริดรอนสิทธิเราทำไม,pos,neg,0.857,False
นี่เลยพี่บรี เมื่อผมสั่งเบียร์สิงห์ SINGHA ในเซี่ยงไฮ้ - -',neu,neg,0.536,False
มีแต่ชื่อภาษาอังกฤษเนอะ ก้อนเนอะ..คนชื่อภาษาไทยอดไปดิ,neg,neu,0.487,False
อัลเมร่าตัวท้อปดาวเท่าไรคะ,neu,q,0.911,False
อาจารย์คับรบกวนสอบถามเรื่องแอร์น่อยคับ รถยาริส1.2 รถ3ปี70000โล อยู่ดีๆแอร์มีแต่ลม คือวันเสาแอร์ยังเย็นอยู่คับพอมาเช้าวันอาทิตสตาทรถแล้วรู้สึกว่าแอรมีแต่ลม ไปร้านแอร์เช็คดูว่าน้ำยาแอรขาดเลยเติมมา อาการแบบนี้จะเป็นที่ตู้แอร์รั่วได้ไหมคับ ถ้าเป็นที่ตู้แอร์ต้องรื้อคอนโซลเลยใช่ไหมคับมีวิธีอื่นไหมคับ,neg,q,0.649,False
แนะนำของใหม่คะ,neu,pos,0.576,False
วันอังคารๆๆๆ,neu,pos,0.684,False
พุ่งนี้ไปกันไหม,neu,pos,0.893,False
อีกตั้งนานนน ค่อยหาเนอะ,pos,neu,0.516,False
จะกินเป็ดย่าง😣😣😣😣😣😣😣😣ๆๆๆๆๆๆๆๆๆๆๆ,neu,pos,0.905,False
เลี้ยงหรอจิ,neu,pos,0.567,False
Top 10 ลำดับสุดท้ายของ IPSA Best Seller อีกหนึ่ง Must have item! ที่อยากแนะนำสาวๆให้ได้ลอง ซีรั่มที่ช่วยล็อคประสิทธิภาพของครีมบำรุงผิว IPSA Barrier Serum ด้วยคุณสมบัติพิเศษในการยึดเกาะผิวและเก็บกักความชุ่มชื่นได้ยาวนาน เมื่อสัมผัสโดนน้ำ หรือเจอเหงื่อ จะยิ่งเพิ่มคุณสมบัติในการยึดเกาะได้มากยิ่งขึ้น ไม่ทิ้งคราบมัน เหมาะกับทุกสภาพผิว เชิญทดลองผลิตภัณฑ์ได้แล้ววันนี้ที่เคาน์เตอร์อิปซ่าทุกสาขาค่ะ #IPSAThailand,pos,neu,0.73,False
อยากรู้ต้องลอง,neu,pos,0.714,False
นี่โปรใหมา,pos,neu,0.728,False
😁,pos,neu,0.532,False
แม่หญิงเบลล่า ใช้อายไลน์เนอร์ มิสทีน รุ่น ซุปเปอร์ แบล็ค ฟิคซ์ อายไลน์เนอร์ เขียนง่าย แห้งเร็ว เจ้าค่ะ,neu,pos,0.547,False
กานีเย่ 15฿ ก้อพอแล้ว,neu,pos,0.641,False
บาบิก้อนบุฟเฟต์กันเลยข่ะ,neu,pos,0.856,False
ลูกหมากหน้าล่าง Lancer ex ขอราคาด้วยครับ,q,neu,0.835,False
รอแฟนพี่หายก่อน เดียวไปกินกัน. น่ากินเนอะ,neu,pos,0.915,False
กระทะของบาบีก้อนจริงปะวะ,neu,q,0.5,False
ตอบ B ค่ะ ดูโฉบเฉี่ยวเป็นเอกลักษณ์ที่โดดเด่น สีแดงสะกดทุกสายตาเรยคะ #Rama3honda,neu,pos,0.698,False
ตอนนี้ขับบีที50โปรต้องการเปลี่ยนเป็น4ประตูต้องทำไงบ้างคะ แต่ไม่มีเงินดาว อยากได้แบบผ่อนถูกๆค่ะ,neu,q,0.869,False
อืมนึกว่าบุฟเฟ่,neg,pos,0.403,False
เดี๋ยวส่งมาให้เอง 55,pos,neu,0.891,False
ความสุขของเธอฉันไม่ขัด😘,neu,pos,0.829,False
มันใช่เวลามาออกเมนูใหม่ไหม,neu,neg,0.849,False
ทีมลาซาด้า #ทีมพี่สมาย #Eucerin ทั้งใจ,neu,pos,0.503,False
วันนี้เมาแสงโสมนะคับ,pos,neu,0.543,False
ร่วมบริการค่ะ,q,neu,0.886,False
ขอรคา New Pajero sport คับ,q,neu,0.956,False
เลาว่าควรพอ55,neu,pos,0.505,False
สนไหมมมมม5555,neu,pos,0.827,False
น้ำฟรีหรือป่าวคับ,neu,q,0.731,False
ซีฟูดมีอะไรบ้าง ไม่มีเนื้อสัตว์บกใช่ป้ะ ที่บ้านไม่กินสัตว์4ขา,q,neg,0.851,False
เหมือนว่าจะดีขึ้นแล้ววววววววววว 555555,neu,pos,0.594,False
ฟอร์ดเรนเจอร์เป็นมั้ยครับ..?,neu,q,0.795,False
เกลียดความรู้ทันของเพื่อน😅,pos,neg,0.544,False
ชวนกินอีกแล้ว พร้อม 😁,neu,pos,0.594,False
ไก่ไม่ทีกระดูก,neu,neg,0.586,False
ลองดิ๊ นี่เขย่าไม่ได้ มันบอกมือถือไม่รองรับ,neu,neg,0.772,False
ที่โคราชจะทานอะไรคะ บาบีกอนไม่บุฟเฟ่นะคะ,neg,neu,0.465,False
รถอย่างหรู ขับขี่ปลอดภัยอุ่นใจเมื่อขับ นิสสัน,neu,pos,0.784,False
ไม่หิวกินอิ่มแล้ว,neu,pos,0.453,False
จะเอา Chanel no.5 รอบหน้า,neu,pos,0.547,False
ตั้งใจชนอะ revo รุ่นใหม่สตาร์ในเกียร์ได้เหรอ เข็ดไปอีกนาน bm,neu,neg,0.969,False
ลงชื่อทำยังไงบ้างครับ,neu,q,0.481,False
....😁,neu,pos,0.583,False
พรุ่งนี้จัดไหมเรา 2 คน 555,neu,pos,0.861,False
อยากติดเนตบ้านโปรแรงๆที่ติดแล้วเนตคงที่ไม่ลด มีโปรเนตถูกๆแนะนำบ้างไหมค่ะ,q,pos,0.357,False
แปะไว้ก่อน,neu,pos,0.544,False
อยากได้กานิเย่รับหน้าร้อนคระ,neu,pos,0.804,False
นิ่มๆ แต่หัวทิ่มได้นะ ลองแล้ว,neu,pos,0.528,False
วันๆๆนอกจากทำงาน..ก็กินหมุจุ่ม..ชาบุ..หมูกะทะ..เอ็มเคไปวันๆ,neu,pos,0.484,False
ว่าแล้วต้องมีแบบนี้ ผมเลยเอาmg3ตัดเรื่องระบบไฟฟ้าออก,neu,pos,0.648,False
ขอบพระคุณครับ,neu,pos,0.779,False
หิวเลย,neu,pos,0.837,False
รถผม 80000 กม. Isuzu. All new dmax 2014 ใช้ตัวนี้จะอืดไหมครับ ตัวนี้ราคาเท่าไรครับ 7 ลิตร,neu,q,0.901,False
คิดว่าไม่แพงนะเพราะกินตั้ง13คนคิดแล้วก็คนประมาณ500กว่าบาท.ไปกินเอ็มเค2คนก็เป็นพันเหมือนกัน..นานๆๆทีกินอาหารทะเลซื้อความสุขให้ตัวเองค่ะ,neu,pos,0.493,False
กุลดความอ้วน,neu,pos,0.619,False
ปีที่แล้วทะเลาะกับพ่อหนักมากหนักสุดล้ะ เดินร้องไห้ออกจากบ้าน เดินเรื่อยๆจนถึงหน้าปากซอยแล้วโบกแท็กซี่ไปห้าง ซื้อๆๆๆๆๆ ซื้อแม่งให้หมด,neu,neg,0.903,False
มีเซ็นเซอร์ถอยหลังตั้งแต่รุ่นล่างสุดเปล่าว้า..แถว่ะ,neu,neg,0.598,False
ไม่ได้โดนบาบีก้อนนานละ #พูดลอยๆ,pos,neg,0.758,False
มื้อได่ละ จัดจักมื้อบ่เฮา,neu,pos,0.841,False
ขอแชร์ว่าเมื่อก่อนก้อเจอปัญหาแบบนี้มาโดยตลอด แต่พอเปลี่ยนมาใช้โซฟี ไม่เป็นปัญหาอีกเลยนะ กาวนางดีเวอร์วังมาก แปะเกงในอยู่หมัด ไม่มีเลื่อนหลุดไหล พลิกซ้ายขวาใดๆให้กังวล บางครั้งกาวดีจนเวลาแกะออกจากเกงในนี่แน่นจนกางเกงในเกือบขาดตอนดึงออก คือกาวดีเกินไป แนะนำรุ่น super slim แบบมีปีก ทุกรุ่นของ super slim มันบางมากกกกก เหมือนไม่ได้ใส่ผ้าอนามัยเลย แต่ซึมซับดีเยี่ยม คือนี่ลองทุกยี่ห้อแล้วจิงๆ ดีสุดคืออันนี้ ตอนซื้อของลอรีเอะมาใช้ มันกาวหลุดเลื่อนเจอปัญหาแบบที่ทุกคนด้านบนบอกเลยจิงๆ แต่พอเป็นโซฟีรุ่นที่บอกไม่เคยมีปัญหาเลยดีมากๆกาวแน่นเวอร์วังฝุดๆ #ไม่มีส่วนได้ส่วนเสียอะไรกะโซฟีทั้งนั้น #ใช้ดีก้อบอกต่อกันจะได้คุณภาพชีวิตดีขึ้น #อยากให้ลองจิงๆจากใจเลย,neg,pos,0.502,False
🤤🤤🤤🤤🤤🤤,pos,neu,0.574,False
น้ายา บอกผมเลยครับ จัดให้ มันจะยากตรงไหนครับ,neu,pos,0.479,False
พี่เอาบุหรี่ไฟฟ้า เปนมวนมันเหม็น,pos,neg,0.953,False
อยู่ๆก็อยากได้กำลังใจ,neu,pos,0.624,False
ตามนั้นนนน,pos,neu,0.658,False
แอ่กกก,neg,neu,0.632,False
นั่นสิ555555 พี่แสนรักขอเลือกติดทนละกันน แต่ว่าเพื่อนพี่แสนรักแนะนำตัวนี้บอกว่าคล้ายๆเพอริเพอร่า,q,pos,0.551,False
#พาsmootoไปเที่ยว พาไปทุกที่ค่ะทั้งทำงานที่ต้องอยู่แต่ในห้องแอร์ตลอดเวลา นอนไม่เป็นเวลาต้องดูแลผู้ป่วย พาไปอบรมดูงานนอกสถานที่ พาไปเที่ยวตากแดดตากลม พาไปงานแต่งหรืองานสังสรรค์ต่างๆ เพราะsmootoทุกตัวมีดีต่างกันแต่ดีทุกสูตรทุกตัว เอาจริงๆนะแต่ก่อนดูถูกพวกครีมซองมากๆไม่กล้าใช้ไม่ใช่ของห้างนู่นนี้นั้น จนกระทั่งวันนึงแม่เราซื้อมาชิงโชคเพื่อจะไปญี่ปุ่น ถึงได้มีโอกาสได้ลองใช้ตัวแรกเลยคือsmooto egg แค่2วันแรกหนังหน้าเปลี่ยนตอนแรกคิดว่าคิดไปเอง แต่พอโดนทักมากๆเข้าเลยมั่นใจว่าเจอของดีของเด็ดเข้าแล้ว จากนั่นเลยเริ่มเอาสูตรต่างๆมาลองใช้มีจุดเด่นที่แตกต่าง ***และสูตรอื่นๆที่ยังไม่ได้พูดถึงแต่มีแล้วใช้แล้วเหมือนผิวหน้าได้เกิดใหม่ สรุปเราก็เลย #พาsmootoไปเที่ยว ไปเที่ยวพกติดตัวไปทุกที่ค่ะ ทั้งพกพาง่ายหาซื้อยิ่งง้ายง่ายขาดไม่ได้เลยจริงๆค่ะ ...รักsmootoค่ะ,neu,pos,0.924,False
ไดซาชิ คุ้มกว่า 555555,neu,pos,0.904,False
อืด,neu,neg,0.978,False
ฟิวเลี้ยงก็ได้หมดเดี๋ยวพาปายย,neu,pos,0.634,False
พกพาไปได้ตลอดความสวยความงามต้องโอเลย์ชิจ๊ะ,neu,pos,0.643,False
ช้าไปอยากกิน,neu,pos,0.934,False
ใครมาก็ได้ถ้าเป็นToyotaBuzzเพราะเขาเป็นโชว์รูมสุดยอดอยู่แล้ว #ToyotaBuzz #อายกมลเนตร,pos,neu,0.644,False
เรื่องของมึงครับ กุสูบ Vape ฟินกว่าเยอะ🤣 กร๊ากกกก,neu,pos,0.564,False
ให้โลกรู้ไว้แท็กซี่ สีเหลือง ที่ไม่ปฏิเสธลูกค้า และไม่+เพิ่มค่าโดยสาร ยังมีอยู่บนโลกใบนี้ #แท็กซี่,pos,neu,0.422,False
ตอบ สินค้านี้ ลอรีเอะ ซุปเปอร์ เจนเทิลพลัส 25-30 ซม. 6-7ชิ้น ราคา 21 บาท,pos,neu,0.987,False
ต่ำอีกนิด จะแทะให้หมดเลย!,neu,pos,0.547,False
ไปมั้ย???,neu,pos,0.833,False
นกแอร์กับแอร์เอเชียเที่ยวบินไประนองยกเลิกมั้ยค่ะ,neu,q,0.985,False
ลองดู,neu,pos,0.512,False
อ้วนนะพรุ่งนี้ป่ะ,neu,pos,0.786,False
รีวิวรองพื้น Marc Jacobซะหน่อย เมื่อวานไปสอยตัวใหม่มา ขวดแบนๆ Shameless foundation คือตัวนี้ตอนลองแบบ เห้ย ทาแล้ว????? มันหายไปไหน ซึ่งใันต่างกับตัวขวดกลมเดิมมาก อันนั้นหนาเหลือเกินออเจ้า แบรนด์นี้ขุ่นแม่ชอบมากนะ คือมัน simple แต่ดีงาม แต่ปัญหาใหญ่คือ “กูไม่เคยเลือกสีถูกค่ะ!” เฉดสีเยอะงงเว่อร์ ลองที่ Sephora กลับมาใช้ไม่เคยได้ตรงสีหน้า 555 รุ่นใหม่นี้เอาสี y270 มา พอใช้กับหน้า รู้สึก เพี้ยนๆ แต่บางเบาราวกับลืมใส่ กกน ปกปิด กลางๆ ผิวแห้งก็ใช้ได้นะ แต่ไม่ควรลงแป้งตาม ผิวมันก็น่าจะชอบความชุ่มผิว ปัญหาเดียวคือ ไปเลือกสีดีๆ จบรีวิว,pos,neg,0.991,False
แบงค็อก ยูไนเต็ด เผด็จศึกครับบบบ #ChangFAcupFinal,pos,neu,0.932,False
เลิกงาน,neu,pos,0.595,False
